Name,Type,Key Points,General,Gram Stain,Morphology,Laboratory,Treatment,Prevention,Disease,Signs,Sources
Borrelia burgdorferi,Bacteria,Ixodes tick (deer tick),3-stage disease,Does not Gram stain,Spirochete,Serological diagnosis ,"Doxycycline; Amoxicillin, or cefuroxime in kids <8; Ceftriaxone (meningitis or heart block)",Avoid tick exposure,Lyme Disease; Meningitis,Erythema migrans (bull's eye); Diffuse arthrgias; Bell's palsy; Aseptic meningitis; Carditis; Complete heart block,
Borrelia hermsii,Bacteria,tick,,,,,,,Endemic relapsing fever,Recurrent high fever,
Borrelia recurrentis,Bacteria,lice,,,,,,,Epidemic relapsing fever,Recurrent high fever,
Blastomyces,Fungus,The great pretender,,,Broad based budding url:https://upload.wikimedia.org/wikipedia/commons/e/ee/Blastomyces_dermatitidis_GMS.jpeg,KOH prep; Cytology; Histology,Itraconazole PO,,Mimics TB; Mimics Bacterial pneumonia; Mimics lung cancer,Flu like,
Brucella abortus,Bacteria,Common in cattle; concern for potential use as bioterrorism agent,,Gram negative,Rod,,,,Brucellosis,,
Burkholderia cepacia,Bacteria,Common colonizer of lung in patients with cystic fibrosis,Group of around 20 species; formerly classified as a Pseudomonas species,Gram negative,Rod,,,,,,
California encephalitis virus,Virus,,Bunyavirus,,,,,,,,
Campylobacter jejuni,Bacteria,Tiny curved rods appearing in pairs or chains resembling gull wings; Associated with chicken,Microaerophilic aerobe,Gram negative,Rod,Growth on blood agar with antibiotics at 42C in reduced O2; Oxidase positive,Fluoroquinolones (Levo or cipro) or azithromycin,,Diarrhea; Guillain Barre syndrome; Reiters Syndrome,,
Candida albicans,Fungus,"Yeast found in normal oral, intestinal, and vaginal flora; also in AIDS (CD4 < 500)","most common ""yeast infection""; forms germ tubes",Stains Gram positive,Often seen with budding daughter cells,Aerobic or fungal culture; Germtube positive,Over-the-counter azole-based topical treatments; Oral fluconazole; Echinocandins; Amphotericin B,,Oral Candidiasis (Thrush); Yeast infections; Esophagitis,,
Cardiobacterium hominis,Bacteria,,HACEK organism (culture negative organisms causing fever of unknown origin (FUO) in endocarditis),Gram negative,Rod,,,,Subacute endocarditis,,
Chlamydia trachomatis,Bacteria,Obligate intracellular bacterium; Often coinfection with Gonorrhea,"Serotypes A-C, Trachoma;D-K genital infections, L1-L3, Lymphogranuloma venereum",Does not Gram stain,"Intracellular pathogen; Reticulate Body (RB): intracellular, replicative form; Elementary Body (EB): extracellular, infectious form","Nucleic Acid Amplification Test (NAAT), Indirect fluorescent antibody test on tissue",Pelvic: Azithromycin (doxycycline if not tolerated); Eye: Oral erythromycin,Safe sex,Chlamydia; Pelvic inflammatory disease (PID); Conjunctivitis (adult or infant); Cervicitis; Endometritis; Salpingitis; Urethritis; Epididymitis; Proctitis; Perihepatitis (Fitzhugh-Curtis syndrome); Reiter syndrome,"Clear (not purulent) discharge; LGV - painless ulcers, regional lymphadenopathy",
Chlamydophila pneumoniae,Bacteria,"Common cause of ""walking pneumonia""; high seroprevalence among adults","Intracellular pathogen; Reticulate Body (RB): intracellular, replicative form; Elementary Body (EB): extracellular, infectious form",Does not Gram stain (Gram-negative structure),Rod,Serology; Nucleic Acid Amplification Tests (NAAT),"Doxycycline; Macrolides (erythromycin, azithromycin)",,Atypical pneumonia,,
Clonorchis sinensis,Fluke,Associated with ingestion of infected freshwater fish,"Also known as ""Chinese liver fluke""; commonly distributed throughout Asia",,,Ova in stool,Praziquantel; Albendazole,,Cholangiocarcinoma,"Chronic: usually asymptomatic with intermittent abdominal pain, fatigue, anorexia, dyspepsia; Acute (rare): abodminal pain, fever, fatigue, anorexia, hepatomegaly, eosinophilia",
Clostridium botulinum,Bacteria,Associated with improperly canned meat/fish; Bacteria from soil can contaminate raw honey; most potent paralytic toxin known,Sporeformer; Strict anaerobe; Disease caused by botulinum toxin,Gram positive,Rod,Culture and toxin detection too slow for Dx; Clinical Impression and food history,Botulinum antitoxin; Ventilation if respiratory involvement,,"Botulism, Floppy Baby Syndrome",Progressive flaccid paralysis,
Clostridium difficile,Bacteria,GI disease after antibiotic treatment; Spores easily spread in hospitals and resistant to alcohol-based antiseptics,Sporeformer; Fecal-oral route; Anaerobic; Toxins produced that cause disease,Gram positive,Rod,PCR for toxin genes,Metronidazole + vancomycin (or fidaxomicin); Human monoclonal anti-toxin B,,Post-antibiotic-treatment-associated diarrhea; Pseudomembranous colitis,Diarrhea; leukocytosis,
Clostridium perfringens,Bacteria,"Normal intestinal flora; causes myonecrosis, Gas gangrene","Sporeformer, Anaerobe",Gram positive,Rod,Anaerobic culture; lysis of RBCs and digests egg yolk in agar; Stormy fermentation in milk,"Gas gangrene: debridement, PCN, clindamycin",Proper food handling,Gas gangrene; Foodborne illness,Muscle necrosis (no PMNs),
Clostridium tetani,Bacteria,Causative agent of tetanus; Classically associated with wounds involving soil,Sporeformer; Strict anaerobe; Caused by infections of wounds by spores,Gram positive,Rod,No major lab tests; Diagnosis based primarily based on H&P,Tetanus Immunoglobulin (TIG); mechanical ventilation may be needed in severe cases,"Vaccine (DTaP in kids, Tdap or Td in adults)",Tetanus,"Trismus (""lockjaw""); Arching of back muscles (opisthotonus); Severe and painful spasms of skeletal muscle",
Coccidioides immitis,Fungus,Endemic to Southwest US,,,,,,,Coccidiomycosis,,
Corynebacterium diphtheriae,Bacteria,Toxin-mediated disease; Largely eliminated in US due to vaccination,Prominent pseudomembrane in throat of affected individuals,Gram positive,"Club-Shaped Rod, ""Chinese letters""",Toxigenicity testing for diptheria toxin; catalase positive,"Antitoxin to neutralize toxin, antibiotics to eradicate organisms","Vaccine (DTaP in kids, Tdap in adults)",Diptheria,Pseudomembrane,
Coxiella burnetii,Bacteria,,,Gram negative,Rod,,,,Q fever url:https://en.wikipedia.org/wiki/Q_fever,,
Coxsackievirus,Virus,,Enterovirus; ssRNA,,,,,,"Hand, foot, and mouth disease; Herpangina; Pleurodynia (Bornholm disease)",,
Crimean-Congo Hemorrhagic Fever,Virus,Ambisense RNA; tick vector,Bunyavirus,,,,Supportive; ribavirin,,Hemorrhagic Fever,,
Cryptococcus neoformans,Fungus,AIDS defining illness (CD4 < 100),Yeast with large capsule,,Spherical to oval; Encapsulated; Large capsules around budding yeast,Cryptococcal antigen test; India ink,Amphotericin (meningitis) + 5-flucytosine (severe); fluconazole (mild),Antiretroviral therapy (ART) in HIV-positive patients,Meningitis; Pneumonia,"Meningismus, seizures, CN palsies, headache",
Cryptosporidium parvum,Protozoa,Unchlorinated pool water,Protozoan parasite,Acid fast positive,Oval body 4-6 microns,Smear of fecal sample; Enzyme Immunoassay for cryptosporidium antigens,,,"Acute, watery, and nonbloody diarrhea",,
Cyclospora cayetanensis,Protozoa,Reported in tropical and subtropical regions,,,,Smear for Oocytes in Stool; PCR detection,,,,,
Cytomegalovirus (CMV),Virus,torCh infection; CMV chorioretinitis an opportunistic infection in patients with AIDS,Herpesviridae,,,,Valgancyclovir; Systemic: cidofovir,,Chorioretinitis; Encephalitis; Microcephaly; Periventricular calcifications in the brain (cmV = periVentricular); Esophagitis; Gastritis,"Eye exam: yellow-white granular areas, perivascular exudates and hemorrhages (cottage cheese and ketchup)",
Diphyllobothrium latum,Tapeworm,Fish tapeworm url:https://upload.wikimedia.org/wikipedia/commons/4/42/D_latum_LifeCycle.png,,,,,,,B12 deficiency (megaloblastic anemia),,
Eastern Equine Encephalitis (EEE),Virus,,Togavirus (alphavirus),,Enveloped,Serology,,Vaccine,Encephalitis,Flu-like symptoms,
Ebolavirus,Virus,RNA virus,Filovirus,,Enveloped,"ELISA, IgM ELISA, PCR, virus isolation",Supportive,,Hemorrhagic Fever,"Non-specific early symptoms (red eyes, skin rash); DIC",
Echinococcus granulosus,Helminth,Associated with contamination of dog feces; Cyst rupture can trigger anphylaxis,"Worms that predominantly invade liver, followed by lungs",,,,Surgical cyst removal; Albendazole/praziquantel; Aspiration ,,Anaphylaxis; Cholangitis/biliary obstruction; Peritonitis if intraperitoneal; Pneumonia if in lungs,Symptoms due to cyst rupture,
Ehrlichia spp,Bacteria,RMSF without the spots,Intracellular,Gram negative,,,Doxycycline or minocycline (rifampin if allergic),,Ehrlichiosis (tick borne),"Headache, muscle ache, fatigue; Platelets and WBC down; Increased ALT",
Eikenella corrodens,Bacteria,Normal human oral flora,Human bites; HACEK organism (culture negative organisms causing fever of unknown origin (FUO) in endocarditis),Gram negative,"Small, pleomorphic rod",Facultative anaerobe; tiny colonies pit agar surface and releases a bleach smell,PCN; Antibiotics; NSAID; Steroids,,Bite wound infections; Bacterial Endocarditis,,
Entamoeba histolytica,Protozoa,"Liver abscess with ""anchovy paste"" contents; Parasite ""eats"" RBCs",Humans are only known host; Associated with fecal contamination of water,,"Amoeba with prominent nucleus (""target-shaped"")","Visualization in stool (O&P x3); Extraintestinal: needle aspiration, serology",Metronidazole,,Intestinal and extraintestinal ameobiasis; Prominent flask-shaped ulcers in colon; Lactose intolerance post-infection,"Mucoid, bloody stools; Weight loss; Abdominal pain; Fever",
Enteroaggregative Escherichia coli (EAggEC or EAEC),Bacteria,Stacked brick appearance,,Gram negative,Rod,,,,Infant diarrhea; Adult diarrhea,Inflammatory diarrhea with occasional blood and mucus,
Enterobius vermicularis,Nematode,"AKA ""Pinworm""",Common benign parasite in childhood; Active at night,,,Scotch tape test,Albendazole (also treat family),,,Nocturnal anal pruritis (itching),
Enterohemorrhagic Escherichia coli (EHEC),Bacteria,Hamburger; Hemolytic uremic syndrome; Hemorrhagic colitis; Hold the antibiotics!,Food poisoning; Crowded places,Gram negative,Rod,Sorbitol fermenter (SMAC plate),,,Hemorrhagic colitis (bloody diarrhea); Hemolytic uremic syndrome,,
Enteroinvasive Escherichia coli (EIEC),Bacteria,I for identical to Shigella but doesn't produce Shiga toxin,,Gram negative,Rod,Lactose fermenter,,,Bacillary dysentery,Watery diarrhea to dysentery,
Enteropathogenic Escherichia coli (EPEC),Bacteria,"P for protracted, pediatric diarrhea in poor countries; Plasmid-mediated virulence factors; Pedestal formation; Passive protection from breast milk",,Gram negative,Rod,,,,Infant diarrhea,,
Enterotoxigenic Escherichia coli (ETEC),Bacteria,T for Traveler; Two toxins LT and ST,,Gram negative,Rod,,,,Traveler's diarrhea; Children's diarrhea,Watery diarrhea,
Escherichia coli,Bacteria,Associated with fecal contamination,Facultative anaerobe,Gram negative,Rod,Aerobe,PCN; Antibiotics; NSAID; Steroids,,Urinary tract infection (UTI),,
Fasciola hepatica,Fluke,Transmission associated with aquatic plants; Major agricultural pathogen throughout world,,,,,Triclabendazole,,,,
Francisella tularensis,Bacteria,Bioterrorism agent; found in small game throughout US (classically rabbits),Highly infectious; Ulcerative skin lesion is classical presentation; spread via ticks and deer flies,Gram negative,Coccobacillus,Serology; PCR; Culture not recommended due to low yield and high infectivity; special cysteine-supplemented media,Streptomycin; supportive care as needed,Avoiding tick-infested areas; avoiding handling of wild mammals ,"Tularemia (""Rabbit Fever"")",,http://emedicine.medscape.com/article/230923-overview
Fusobacterium nucleatum,Bacteria,Indigenous to human oral cavity,Anaerobic organism,Gram negative,Rod,,,,Periodontal disease; Pleuropulmonary infections; Linked to colorectal cancer; Lemierre's syndrome,,
Gardnerella vaginalis,Bacteria,Common cause of bacterial vaginosis,Fishy vaginal odor,Gram variable,Rod,Amine whiff test; Beta hemolysis on blood agar,Metronidazole or clindamycin,,Bacterial Vaginosis,Gray vaginal discharge with fishy odor,
Giardia lamblia,Protozoa,Spread via contaminated water; associated with mountain stream water,Fecal-oral transmission; cysts resistant to chlorine; cysts develop into active form in small intestine,,,Visualization in stool sample; often requires ~3 visualizations to find pathogen,Metronidazole; can also use tinidazloe or nitazoxanide,Proper water treatment (boiling or addition of iodine/chlorine),Giardiasis,"Flatulence, steatorrhea, ""foul smelling stools""; Weight loss; Debilitation","Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 524-525"
Haemophilus ducreyi,Bacteria,Causitive agent of chancroid,,Gram negative,"Curved (""safety pin"") coccobaccilli; chubby rods",Cultured on chocolate agar + vitamins and 10% CO2,Azithromycin; Ceftriaxone,STI screening; safe sex practices,Chancroid,Painful genital ulcer; often involves regional lymphoadenopathy,
Haemophilus influenzae,Bacteria,Classic respiratory bug,Six capsular types; Type B prominent in unvaccinated populations; Non-typable strains increasingly prominent; HACEK organism (culture negative organisms causing fever of unknown origin (FUO) in endocarditis),Gram negative,"Curved (""safety pin"") coccobaccilli",Growth requires X and V factors (Chocolate Agar); Oxidase positive,3rd-generation Cephalosporins pending antibiotic sensitivities,Vaccination (Hib strain); Rifampin (prophylaxis of meningococcal disease meningitis),Acute otitis media (AOM); Meningitis (particularly in unvaccinated children); Community acquired pneumonia (CAP) plus COPD; Upper respiratory infection (URI),,
Helicobacter heilmannii,Bacteria,More common in children,Straight spiral shape,Gram negative,Rod,,Same as H. pylori,,Gastritis,,
Helicobacter pylori,Bacteria,Type I carcinogen; Major cause of peptic ulcers,Curved spiral shape; Microaerophilic,Gram negative,Rod,Urease positive; Giemsa stain; Wurthin-Starry stain; IgG Serology (ever infected); Fecal antigen test (current infection); Urea breath test (current infection),"Triple therapy (10-14 days) PPI (esomeprazole), Amoxicillin, Clarithromycin; Quadruple therapy (10-14 days) PPI (esomeprazole), Metronidazole, Tetracycline, Bismuth subsalicylate",,Gastritis; Gastric adenocarcinoma; Gastric ulcers; MALT lymphoma,,
Hepatitis A,Virus,Associated with contaminated water or shellfish,Fecal-oral transmission; Picornavirus; ssRNA (+),,,Serology; Elevated AST and ALT,Typically self-limiting,Vaccine,Viral Hepatitis,Fever; Abdominal pain; Jaundice,
Hepatitis B,Virus,Spread by sexual contact,,,,anti-HBsAb = vaccinated; anti-HBcAb = current or previous infection; anti-HBeAb = actively dividing; HBsAg + anti-HBc IgM + anti-HBc = acute infection; HBsAg + anti-HBc = chronic infection,"Interferon-alpha, antivirals",Vaccine; Standard Precautions; HBV Ig,Viral Hepatitis; Hepatocellular carcinoma (HCC),,CDC url:https://www.cdc.gov/hepatitis/hbv/pdfs/serologicchartv8.pdf
Hepatitis C,Virus,Blood transfusion related; IV Drug use,Commonly progresses to chronic hepatitis infection,,,Presence of HCV RNA,Traditionally PEG-Interferon + Ribavirin; additional medications (namely sofosbuvir) show increased success in clinical trials,Standard Precautions,Viral Hepatitis,,
Hepatitis D,Virus,Requires Hepatitis B infection to replicate,,,,,,Vaccination against Hepatitis B typically preventative,Viral Hepatitis,,
Hepatitis E,Virus,Increased mortality in pregnant women,Fecal-oral transmission,,,,,,Viral Hepatitis,,
Herpes Simplex Virus (HSV),Virus,Vertical transmission (torcH infection); HSV-1 latent in trigeminal ganglia; HSV-2 latent in sacral ganglia,#1 Cause of Sporadic Encephalitis,,"Double-Stranded, Linear, Enveloped DNA virus; icosahedral capsid",Fluoroscein slit lamp exam shows corneal ulcers; Tzanck smear shows multinucleated giant cells,Acyclovir or valacylovir; foscarnet,,Encephalitis; Keratoconjunctivitis; Herpes labialis; Gingivostomatitis; Aseptic meningitis,Cold sores; Erythema multiforme; Inguinal lymphadenopathy (HSV-2),
Histoplasma capsulatum,Fungus,Predominantly occurs in Ohio/Mississippi River valley region,,,Dimorphic fungus (yeast form in active infection),"Antigen testing (blood, urine, bronchoalveolar lavage); serology",Supportive for mild; Itraconazole for moderate; Amphotericin B for severe infection,,Histoplasmosis,Most patients  asymptomatic; can range from mild pneuonia to severe disseminated infection,
Hookworm Necator americanus,Nematode,,,,,,,,,,
Human Herpes Virus 8 (HHV8),Virus,Kaposi's Sarcoma,,,,,Antiretroviral therapy (ART) if HIV-positive,,Causes Kaposi's Sarcoma in AIDS patients; Castleman's disease url:https://en.m.wikipedia.org/wiki/Castleman%27s_disease,,Wikipedia url:https://en.m.wikipedia.org/wiki/Kaposi%27s_sarcoma-associated_herpesvirus
Human Immunodeficiency Virus (HIV),Virus,Causative agent of AIDS,"Retrovirus, Lentiviruses",,Positive ssRNA,ELISA; Western blot; PCR,Anti-retroviral medications (e.g. AZT); HAART url:https://aidsinfo.nih.gov/guidelines/html/1/adult-and-adolescent-arv-guidelines/11/what-to-start,Standard Precautions; Safe sexual practices and screening; PREP url:https://www.cdc.gov/std/tg2015/clinical.htm#prep,AIDS,"Children: Seizures, motor deficits, acquired microcephaly, behavioral and cognitive decline; AIDS-defining: Retinitis CMV, Kaposi's sarcoma, Toxoplasmosis, Hairy leukoplakia, Pneumocystitis pneumonia, Thrush",
Human Papillomavirus (HPV),Virus,Common STI; Strong association with many cancers (SCC and cervical),HPV strains 6 and 11 associated with genetal warts; HPV-16 and HPV-18 strains most commonly associated with cervical cancer,,,Pap smear (in detecting HPV-associated cervical cancer),,"HPV Vaccine (Gardasil)-targets HPV strains 6 and 11 (genital warts) and 16 and 18 (cervical cancer); New 9-valent Gardasil adds HPV-31, HPV-33, HPV-45, HPV-52, and HPV-58","Genital warts (papilloma, condyloma, verruca vulgaris); Cervical cancer; Squamous esophageal carcinoma; Esophagitis",,
Influenza,Virus,"Major repsiratory pathogen, particularly in winter months; Three type (A, B, C)-A causes most human disease","Orthomyxovirus; Strains determined based on Hemagglutinin (HA) and Neuraminidase (NA) variants; H3N2 and H1N1 most commonly responsible for annual flu; H1N1 responsible for Spanish Flu (1918) and Swine Flu (2009); H5N1 responsible for ""bird flu"" and has high mortality",,Enveloped virus,Diagnosis mainly based on clinical suspicion; viral culture considered definitive for diganosis,Supportive; Oseltamivir (Tamiflu) can help limit spread and mildly shorten duration of symptoms if given within 48 hours of infection,"Inactivated or live attenuated influenza vaccine; Live attenuated vaccine approved for adults 18-50, contraindicated in pregnant women and those with immunodeficiency",Flu,"Fever, muscle pain, sore throat, cough, extreme fatigue; pneumonia","https://www.cdc.gov/flu/professionals/vaccination/vaccine_safety.htm; Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 374-380; https://www.ncbi.nlm.nih.gov/pubmedhealth/PMH0072642/"
Japanese Encephalitis virus,Virus,,Flavivirus,,Enveloped,Serology,,Inactivated mouse brain-derived vaccine; Inactivated Vero cell-derived vaccine; Live attenuated vaccine; Live recombinant vaccine,Encephalitis,"Flu-like symptoms; Fever, rash, aches, chills",
JC Virus,Virus,Immunocompromised host,Polyomavirus,,,,,,Progressive Multifocal Leukoencephalopathy (PML),,
Kingella kingae,Bacteria,,HACEK organism (culture negative organisms causing fever of unknown origin (FUO) in endocarditis),Gram negative,Coccobacillus,,,,Subacute endocarditis,,
Klebsiella pneumoniae,Bacteria,Associated with infection of immunocompromised patients,,Gram negative,Rod,Lactase positive; Mucoid colonies,"Cephalosporins, aminoglycosides, quinolones (significant antibiotic resistance)",Hand-washing; Gown and gloves in infected areas,Community acquired pneumonia (CAP) plus EtOH or aspiration risk; Urinary tract infection (UTI),,
La Crosse virus,Virus,,Bunyavirus,,,,,,Pediatric arbovirus encephalitis,Flu-like symptoms,
Lactobacilli,Bacteria,,Facultative anaerobic or microaerophilic,Gram positive,Rod,,,,Dental caries/cavities,,
Lassa Fever Virus,Virus,Ambisense RNA; Rodent-Human and Human-Human transmission,Arenavirus,,,,Supportive care; Ribavirin,Rodent control,Lassa fever,"Sore throat, facial swelling, hearing loss; ""swollen baby syndrome""",
Legionella pneumophilia,Bacteria,Pulmonary pathogen associated with contaminated water; Uniquely associated with GI symptoms,Often transmitted through contaminated water; Intracellular pathogen; Associated with age and immunosuppression,Gram-negative (does not take up gram stain in sputum),Slender bacilli,BCYE for growth (uncommon); Serology; Antigen testing (from urine or bronchoalveolar lavage),Macrolides; Fluoroquinilones,,Legionellosis (Legionnaire's disease); Pontiac Fever; Atypical pneumonia (immunocompromised),Fever; Chills; Headache; Pneumonia; GI symptoms,
Leishmania,Protozoa,,Spread by sandfly; Common in Iraq and Afghanistan,,,,,,Leishmaniasis,Cutaneous lesion resolves with scar,
Leptospira,Bacteria,Exposure to infected animal urine in water; veterinarians/adventurers,,,,,,,Leptospirosis,"Jaundice, renal involvement",
Listeria monocytogenes,Bacteria,Associated with cold cuts/lunch meat and ice cream,"Food-borne pathogen; Psychrophilic (grows at cold temperatures) or mesophilic (grows at moderate temperatures); Facultative intracellular pathogen (cell mediated immunity); Motile, hemolytic, non-spore-forming; Listeriolysin O (virulence factor); Moves within cells by using host actin polymerization",Gram positive,Rod,Facultative anaerobe; Nonsporulating; Catalase and CAMP test positive; Beta-hemolytic,Penicillin/Ampicillin; Sulfamethoxazole/Trimethoprim; Gentamicin; Not susceptible to cephalosporins ,Proper food handling and cooking; Avoid raw/unpasteurized milk or milk products,Gastroenteritis; Miscarriage and stillbirths,Flu-like illness,http://emedicine.medscape.com/article/965841-medication
Malassezia furfur,Fungus,Associated with neonates receiving lipid infusions or TPN,"Confined to stratum corneum, damages melanocytes through lipid degradation",,"KOH prep shows ""spaghetti and meatball"" appearance url:https://img.medscapestatic.com/pi/meds/ckb/66/43166tn.jpg",,Topical selenium sulfide (Selsun Blue),,Pityriasis/tinea versicolor url:https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Tinea_versicolor1.jpg/510px-Tinea_versicolor1.jpg,Hypo and hyper pigmented skin patches,
Marburg virus,Virus,RNA virus,Filovirus,,,"ELISA, IgM ELISA, PCR, virus isolation",Supportive,,Hemorrhagic Fever,"Non-specific early symptoms (red eyes, skin rash)",
Measles virus,Virus,Giant cell (syncytia) formation,Paramyxovirus; (-) ssRNA; Makes syncitium,,,,Vitamin A (if severe),MMR vaccine; Airborne precautions; anti-measles IgG,Measles; Subacute sclerosing panencephalitis 10 years after infection; acute disseminated encephalomyelitis; measles inclusion body encephalitis; measles giant cell pneumonia,Maculopapular rash spreading from face to body; Cough; Coryza; Conjunctivitis; Koplik’s spots (mouth); Photophobia,
Moraxella (Branhamella) catarrhalis,Bacteria,Classic respiratory bug,,Gram negative,Diplococcus,,,,Acute otitis media (AOM);  Upper respiratory infection (URI); Community acquired pneumonia (CAP),,
Mumps virus,Virus,,Paramyxovirus; (-) ssRNA,,Enveloped,,,MMR vaccine,Aseptic meningitis; Meningoencephalitis; Unilateral nerve deafness; Epididymoorchitis,"Swollen, painful salivary glands on one or both sides of face",
Mycobacterium avium,Bacteria,AIDS defining; CD4 < 50,,Does not gram stain,Acid-fast; Bacillus,Isolator Tube (AFB blood culture) - lytic agent/anticoagulant,"Clarithromycin or azithromycin; ethambutol; rifabutin, ciprofloxacin, or amikacin","MACrolide (Azithromycin, Clarithromycin)",Micobacerium Avium Complex (MAC) infection with 3+ micobacterium species,"Fever, night sweats, diarrhea, weight loss, anemia, abdominal pain, increased alk phos; reticuloendothelial disease",
Mycobacterium leprae,Bacteria,,Aerobe,Does not gram stain,Acid-fast; Bacillus,,,,Leprosy,,
